tree_names,subgenus,position,section,subgen_label,sect_label
Corymbia_candida,Blakella,1,Abbreviatae,Blakella + two Corymbia,NA
Corymbia_flavescens,Blakella,2,Abbreviatae,Blakella + two Corymbia,NA
Corymbia_ferriticola,Blakella,3,Abbreviatae,Blakella + two Corymbia,NA
Corymbia_hylandii,Corymbia,4,Corymbia,Blakella + two Corymbia,NA
Corymbia_porrecta,Corymbia,5,Corymbia,Blakella + two Corymbia,NA
Corymbia_pauciseta,Blakella,6,Abbreviatae,Blakella + two Corymbia,NA
Corymbia_bella,Blakella,7,Abbreviatae,Blakella + two Corymbia,NA
Corymbia_torta,Blakella,8,Abbreviatae,Blakella + two Corymbia,NA
Corymbia_dendromerinx,Blakella,9,Abbreviatae,Blakella + two Corymbia,NA
Corymbia_polysciada,Blakella,10,Abbreviatae,Blakella + two Corymbia,NA
Corymbia_arafurica,Blakella,11,Abbreviatae,Blakella + two Corymbia,NA
Corymbia_confertiflora,Blakella,12,Abbreviatae,Blakella + two Corymbia,NA
Corymbia_aspera,Blakella,13,Abbreviatae,Blakella + two Corymbia,NA
Corymbia_gilbertensis,Blakella,14,Abbreviatae,Blakella + two Corymbia,NA
Corymbia_aparrerinja,Blakella,15,Abbreviatae,Blakella + two Corymbia,NA
Corymbia_blakei,Blakella,16,Abbreviatae,Blakella + two Corymbia,NA
Corymbia_papuana,Blakella,17,Abbreviatae,Blakella + two Corymbia,NA
Corymbia_dallachiana,Blakella,18,Abbreviatae,Blakella + two Corymbia,NA
Corymbia_grandifolia,Blakella,19,Abbreviatae,Blakella + two Corymbia,NA
Corymbia_tessellaris,Blakella,20,Abbreviatae,Blakella + two Corymbia,NA
Corymbia_torelliana,Blakella,21,Torellianae,Blakella + two Corymbia,NA
Corymbia_eximia,Blakella,22,Naviculares,Blakella + two Corymbia,NA
Corymbia_maculata,Blakella,23,Maculatae,Blakella + two Corymbia,NA
Corymbia_henryi,Blakella,24,Maculatae,Blakella + two Corymbia,NA
Corymbia_citriodora,Blakella,25,Maculatae,Blakella + two Corymbia,NA
Corymbia_bloxsomei,Blakella,26,Naviculares,Blakella + two Corymbia,NA
Corymbia_peltata,Blakella,27,Naviculares,Blakella + two Corymbia,NA
Corymbia_leptoloma,Blakella,28,Naviculares,Blakella + two Corymbia,NA
Corymbia_aureola,Blakella,29,Naviculares,Blakella + two Corymbia,NA
Corymbia_leichhardtii,Blakella,30,Naviculares,Blakella + two Corymbia,NA
Corymbia_bunites,Blakella,31,Naviculares,Blakella + two Corymbia,NA
Corymbia_watsoniana,Blakella,32,Naviculares,Blakella + two Corymbia,NA
Corymbia_scabrida,Blakella,33,Naviculares,Blakella + two Corymbia,NA
Corymbia_petalophylla,Blakella,34,Naviculares,Blakella + two Corymbia,NA
Angophora_melanoxylon,Angophora,35,Angophora,Angophora,NA
Angophora_floribunda,Angophora,36,Angophora,Angophora,NA
Angophora_robur,Angophora,37,Angophora,Angophora,NA
Angophora_woodsiana,Angophora,38,Angophora,Angophora,NA
Angophora_hispida,Angophora,39,Angophora,Angophora,NA
Angophora_costata,Angophora,40,Angophora,Angophora,NA
Angophora_bakeri,Angophora,41,Angophora,Angophora,NA
Angophora_inopina,Angophora,42,Angophora,Angophora,NA
Angophora_subvelutina,Angophora,43,Angophora,Angophora,NA
