taxon_id,taxon_name,model_type
2165,Angophora bakeri,PPM
2168,Angophora costata,PPM
2171,Angophora floribunda,PPM
2172,Angophora hispida,PPM
2173,Angophora inopina,PPM
2174,Angophora leiocarpa,PPM
2175,Angophora melanoxylon,PPM
2176,Angophora robur,PPM
2177,Angophora subvelutina,PPM
2178,Angophora woodsiana,PPM
6160,Corymbia abbreviata,PPM
6161,Corymbia abergiana,PPM
6162,Corymbia aparrerinja,PPM
6163,Corymbia arafurica,PPM
6164,Corymbia arenaria,PPM
6165,Corymbia arnhemensis,PPM
6166,Corymbia aspera,PPM
6167,Corymbia aureola,PPM
6168,Corymbia bella,PPM
6169,Corymbia blakei,PPM
6170,Corymbia bleeseri,PPM
6171,Corymbia bloxsomei,PPM
6172,Corymbia brachycarpa,PPM
6173,Corymbia bunites,PPM
6174,Corymbia cadophora,PPM
6178,Corymbia calophylla,PPM
6179,Corymbia candida,PPM
6181,Corymbia chartacea,PPM
6182,Corymbia chippendalei,PPM
6183,Corymbia citriodora,PPM
6184,Corymbia clandestina,RangeBag
6185,Corymbia clarksoniana,PPM
6186,Corymbia clavigera,PPM
6187,Corymbia cliftoniana,PPM
6188,Corymbia collina,PPM
6189,Corymbia confertiflora,PPM
6190,Corymbia dallachiana,PPM
6191,Corymbia dendromerinx,PPM
6192,Corymbia deserticola,PPM
6195,Corymbia dichromophloia,PPM
6196,Corymbia disjuncta,PPM
6197,Corymbia dunlopiana,PPM
6198,Corymbia ellipsoidea,PPM
6199,Corymbia eremaea,PPM
6202,Corymbia erythrophloia,PPM
6203,Corymbia eximia,PPM
6204,Corymbia ferriticola,PPM
6205,Corymbia ferruginea,PPM
6208,Corymbia ficifolia,PPM
6209,Corymbia flavescens,PPM
6210,Corymbia foelscheana,PPM
6211,Corymbia gilbertensis,PPM
6212,Corymbia grandifolia,PPM
6216,Corymbia greeniana,PPM
6217,Corymbia gummifera,PPM
6218,Corymbia haematoxylon,PPM
6219,Corymbia hamersleyana,PPM
6220,Corymbia hendersonii,PPM
6221,Corymbia henryi,PPM
6222,Corymbia hylandii,PPM
6223,Corymbia intermedia,PPM
6224,Corymbia jacobsiana,PPM
6225,Corymbia karelgica,PPM
6226,Corymbia kombolgiensis,PPM
6227,Corymbia lamprophylla,PPM
6228,Corymbia latifolia,PPM
6229,Corymbia leichhardtii,PPM
6230,Corymbia lenziana,PPM
6231,Corymbia leptoloma,RangeBag
6232,Corymbia ligans,PPM
6233,Corymbia maculata,PPM
6234,Corymbia nesophila,PPM
6235,Corymbia novoguinensis,PPM
6236,Corymbia oocarpa,PPM
6237,Corymbia opaca,PPM
6238,Corymbia pachycarpa,PPM
6239,Corymbia papillosa,PPM
6240,Corymbia papuana,PPM
6241,Corymbia paractia,RangeBag
6242,Corymbia pauciseta,PPM
6243,Corymbia peltata,PPM
6244,Corymbia petalophylla,PPM
6245,Corymbia plena,PPM
6246,Corymbia pocillum,PPM
6247,Corymbia polycarpa,PPM
6248,Corymbia polysciada,PPM
6249,Corymbia porrecta,PPM
6250,Corymbia ptychocarpa,PPM
6253,Corymbia rhodops,PPM
6254,Corymbia scabrida,PPM
6255,Corymbia serendipita,PPM
6256,Corymbia setosa,PPM
6257,Corymbia sp. Pentland Hills (P.I.Forster+ PIF16644),Points
6258,Corymbia sp. Prince Regent River (R.L.Barrett & M.D.Barrett RLB 3750),Points
6259,Corymbia sp. Springsure (M.I.Brooker 9786),Points
6260,Corymbia sp. Yampi Peninsula (R.L.Barrett & A.N.Start RLB 2280),Points
6261,Corymbia sphaerica,PPM
6262,Corymbia stockeri,PPM
6265,Corymbia terminalis,PPM
6266,Corymbia tessellaris,PPM
6267,Corymbia torelliana,PPM
6268,Corymbia torta,PPM
6272,Corymbia trachyphloia,PPM
6273,Corymbia umbonata,PPM
6274,Corymbia watsoniana,PPM
6277,Corymbia xanthope,PPM
6278,Corymbia zygophylla,PPM
9303,Eucalyptus abdita,RangeBag
9304,Eucalyptus absita,RangeBag
9305,Eucalyptus acaciiformis,PPM
9306,Eucalyptus accedens,PPM
9307,Eucalyptus acies,PPM
9308,Eucalyptus acmenoides,PPM
9309,Eucalyptus acroleuca,PPM
9310,Eucalyptus adesmophloia,PPM
9311,Eucalyptus aequioperta,PPM
9312,Eucalyptus agglomerata,PPM
9313,Eucalyptus aggregata,PPM
9314,Eucalyptus alaticaulis,PPM
9315,Eucalyptus alatissima,PPM
9316,Eucalyptus alba,PPM
9318,Eucalyptus albens,PPM
9319,Eucalyptus albida,PPM
9320,Eucalyptus albopurpurea,PPM
9321,Eucalyptus alipes,PPM
9322,Eucalyptus alligatrix,PPM
9326,Eucalyptus ammophila,PPM
9327,Eucalyptus amplifolia,PPM
9330,Eucalyptus amygdalina,PPM
9331,Eucalyptus ancophila,RangeBag
9332,Eucalyptus andrewsii,PPM
9333,Eucalyptus angophoroides,PPM
9334,Eucalyptus angularis,Points
9335,Eucalyptus angulosa,PPM
9336,Eucalyptus angustissima,PPM
9338,Eucalyptus annulata,PPM
9339,Eucalyptus annuliformis,Points
9340,Eucalyptus apiculata,PPM
9341,Eucalyptus apodophylla,PPM
9342,Eucalyptus apothalassica,PPM
9343,Eucalyptus approximans,PPM
9344,Eucalyptus aquatica,RangeBag
9345,Eucalyptus aquilina,RangeBag
9346,Eucalyptus arachnaea,PPM
9349,Eucalyptus arborella,PPM
9350,Eucalyptus arcana,Points
9351,Eucalyptus archeri,PPM
9352,Eucalyptus arenacea,PPM
9353,Eucalyptus arenicola,PPM
9354,Eucalyptus argillacea,PPM
9355,Eucalyptus argophloia,PPM
9356,Eucalyptus argutifolia,PPM
9357,Eucalyptus aridimontana,PPM
9358,Eucalyptus armillata,PPM
9359,Eucalyptus aromaphloia,Points
9361,Eucalyptus articulata,Points
9362,Eucalyptus aspersa,PPM
9363,Eucalyptus aspratilis,PPM
9364,Eucalyptus assimilans,RangeBag
9365,Eucalyptus astringens,PPM
9368,Eucalyptus atrata,PPM
9369,Eucalyptus aurifodina,PPM
9370,Eucalyptus badjensis,PPM
9371,Eucalyptus baeuerlenii,PPM
9372,Eucalyptus baileyana,PPM
9373,Eucalyptus baiophylla,PPM
9374,Eucalyptus bakeri,PPM
9375,Eucalyptus balladoniensis,RangeBag
9378,Eucalyptus bancroftii,PPM
9379,Eucalyptus banksii,PPM
9380,Eucalyptus barberi,PPM
9381,Eucalyptus baudiniana,PPM
9382,Eucalyptus baueriana,PPM
9386,Eucalyptus baxteri,RangeBag
9387,Eucalyptus beaniana,PPM
9388,Eucalyptus beardiana,PPM
9389,Eucalyptus behriana,PPM
9390,Eucalyptus bensonii,PPM
9391,Eucalyptus benthamii,PPM
9392,Eucalyptus beyeriana,PPM
9393,Eucalyptus bigalerita,PPM
9394,Eucalyptus blakelyi,PPM
9395,Eucalyptus blaxellii,PPM
9396,Eucalyptus blaxlandii,PPM
9397,Eucalyptus boliviana,Points
9398,Eucalyptus bosistoana,PPM
9399,Eucalyptus botryoides,PPM
9400,Eucalyptus brachyandra,PPM
9401,Eucalyptus brachycalyx,PPM
9402,Eucalyptus brandiana,RangeBag
9403,Eucalyptus brassiana,PPM
9404,Eucalyptus brevifolia,PPM
9405,Eucalyptus brevipes,PPM
9406,Eucalyptus brevistylis,PPM
9407,Eucalyptus bridgesiana,PPM
9408,Eucalyptus brockwayi,PPM
9409,Eucalyptus brookeriana,PPM
9410,Eucalyptus broviniensis,Points
9411,Eucalyptus brownii,PPM
9412,Eucalyptus bunyip,Points
9413,Eucalyptus buprestium,PPM
9414,Eucalyptus burdettiana,RangeBag
9415,Eucalyptus burgessiana,PPM
9416,Eucalyptus burracoppinensis,PPM
9417,Eucalyptus cadens,PPM
9418,Eucalyptus caesia,PPM
9419,Eucalyptus cajuputea,PPM
9420,Eucalyptus calcareana,PPM
9421,Eucalyptus calcicola,PPM
9424,Eucalyptus caleyi,PPM
9427,Eucalyptus caliginosa,PPM
9428,Eucalyptus calycogona,PPM
9433,Eucalyptus calyerup,RangeBag
9434,Eucalyptus camaldulensis,PPM
