apc_nosubsp,budlength_min,budlength_max,budwidth_min,budwidth_max,frtlength_min,frtlength_max,frtwidth_min,frtwidth_max,bud_n_min,bud_n_max,max_height_m,colours_all,tree_names,range_names,subgenus
Angophora bakeri,0.4,0.7,0.4,0.7,0.7,1,0.7,1.2,3,7,15,white_cream,Angophora_bakeri,Angophora bakeri,NA
Angophora costata,0.4,1,0.5,1.1,1,2,0.9,2,3,3,30,white_cream,Angophora_costata,Angophora costata,NA
Angophora floribunda,0.3,0.5,0.3,0.5,0.7,1.2,0.7,1.1,3,7,30,white_cream,Angophora_floribunda,Angophora floribunda,NA
Angophora hispida,0.9,1.3,0.7,1.3,1.5,2.6,1.3,2,3,7,8,white_cream,Angophora_hispida,Angophora hispida,NA
Angophora inopina,0.5,0.8,0.5,0.8,0.6,1.3,0.9,1.5,3,7,8,white_cream,Angophora_inopina,Angophora inopina,NA
Angophora leiocarpa,0.4,0.6,0.4,0.5,1,1.5,0.7,1.2,3,3,25,white_cream,NA,Angophora leiocarpa,NA
Angophora melanoxylon,0.4,0.6,0.4,0.7,0.8,1.3,0.7,1.1,3,7,15,white_cream,Angophora_melanoxylon,Angophora melanoxylon,NA
Angophora robur,0.7,1,0.7,1.2,1.2,1.7,1.2,1.6,3,7,10,white_cream,Angophora_robur,Angophora robur,NA
Angophora subvelutina,0.4,0.6,0.4,0.6,0.8,1.1,0.6,1.1,3,7,20,white_cream,Angophora_subvelutina,Angophora subvelutina,NA
Angophora woodsiana,0.6,0.7,0.6,0.7,1.2,1.5,0.9,1.6,3,7,20,white_cream,Angophora_woodsiana,Angophora woodsiana,NA
Corymbia abbreviata,1.1,1.6,0.9,1.2,2,3.5,1.7,3,7,11,7,white_cream,Corymbia_abbreviata,Corymbia abbreviata,Corymbia
Corymbia abergiana,1.2,1.8,0.8,1.1,2.1,3.4,1.8,2.6,7,7,12,white_cream,Corymbia_abergiana,Corymbia abergiana,Corymbia
Corymbia aparrerinja,0.6,0.7,0.5,0.6,0.9,1.3,0.7,0.9,3,7,20,white_cream,Corymbia_aparrerinja,Corymbia aparrerinja,Blakella
Corymbia arafurica,0.5,0.8,0.4,0.6,0.9,1.2,0.6,1,3,7,15,white_cream,Corymbia_arafurica,Corymbia arafurica,Blakella
Corymbia arenaria,0.4,NA,0.3,NA,0.8,1.3,0.7,1.3,7,7,7,white_cream,Corymbia_arenaria,Corymbia arenaria,Corymbia
Corymbia arnhemensis,0.4,0.6,0.3,0.4,0.8,1.4,0.6,1,7,7,15,white_cream,NA,Corymbia arnhemensis,Corymbia
Corymbia aspera,0.3,0.5,0.3,0.4,0.5,0.8,0.4,0.7,7,7,15,white_cream,Corymbia_aspera,Corymbia aspera,Blakella
Corymbia aureola,0.8,0.9,0.7,NA,1,1.7,0.9,1.6,7,7,15,NA,Corymbia_aureola,Corymbia aureola,Blakella
Corymbia bella,0.5,0.7,0.4,0.5,0.8,1.1,0.6,1.1,3,3,20,white_cream,Corymbia_bella,Corymbia bella,Blakella
Corymbia blakei,0.4,0.5,0.3,0.4,0.6,1,0.5,0.9,7,7,10,white_cream,Corymbia_blakei,Corymbia blakei,Blakella
