apc_nosubsp,leaflength_min,leaflength_max,leafwidth_min,leafwidth_max,extra_reference,leafarea_mm2
Angophora bakeri,5,13,0.5,2,NA,749.9999999999999
Angophora costata,7,21,1.2,5,NA,2893.333333333333
Angophora floribunda,5.5,15,1,5,NA,2050
Angophora hispida,5,11.5,2,6,NA,2199.9999999999995
Angophora inopina,4.5,12,0.8,3,NA,1044.9999999999998
Angophora leiocarpa,5.5,16,0.6,2.2,NA,1003.3333333333333
Angophora melanoxylon,3,9,0.6,2.2,NA,560
Angophora robur,6,18,2.5,6,NA,3400
Angophora subvelutina,6,12,2,5,NA,2099.9999999999995
Angophora woodsiana,7.5,17,1.7,4.5,NA,2531.666666666666
Corymbia abbreviata,7,23.5,3,11,NA,7116.666666666666
Corymbia abergiana,8,15.2,2,6.4,NA,3248
Corymbia aparrerinja,5,16.5,0.7,3.2,NA,1397.4999999999998
Corymbia arafurica,8,20.7,1.3,5.5,NA,3252.666666666666
Corymbia arenaria,6,16,0.8,3,NA,1393.333333333333
Corymbia arnhemensis,7.5,18,0.8,1.8,NA,1105
Corymbia aspera,1.5,6.8,0.7,3.5,NA,581.0000000000001
Corymbia aureola,10,20.5,1.2,3,NA,2134.9999999999995
Corymbia bella,7,23,0.6,2.5,NA,1549.9999999999998
Corymbia blakei,4,13,0.3,1.8,NA,595
Corymbia bleeseri,7.5,15,0.9,2.7,NA,1350
Corymbia bloxsomei,11,18.8,1,3.5,NA,2235
Corymbia brachycarpa,8,15,0.9,2.1,NA,1149.9999999999998
Corymbia bunites,7.3,20,1.2,3.5,NA,2138.5
Corymbia cadophora,7,25.5,2.8,10.2,NA,7041.666666666666
Corymbia calophylla,7,19,2,5.5,NA,3249.9999999999995
Corymbia candida,3,8,0.8,2.7,NA,641.6666666666666
Corymbia chartacea,6,16,3,8.6,NA,4253.333333333333
Corymbia chippendalei,8,13,1,2.3,NA,1155
Corymbia citriodora,10,23,0.6,2.8,NA,1869.9999999999995
Corymbia clandestina,7.3,12,1,2,NA,964.9999999999999
Corymbia clarksoniana,6,18,1,3,NA,1600
Corymbia clavigera,7,16,1.4,2.5,NA,1494.9999999999998
Corymbia cliftoniana,7.8,15,1,2.6,NA,1368
Corymbia collina,9.2,23.5,1,3,NA,2180
Corymbia confertiflora,6,16,2.5,10.3,NA,4693.333333333333
Corymbia dallachiana,9.3,27,0.9,3.4,NA,2601.4999999999995
Corymbia dendromerinx,6,15,3.6,8.5,NA,4235
Corymbia deserticola,2,6.2,1,4,NA,683.3333333333331
Corymbia dichromophloia,7,23,0.8,5.5,NA,3149.9999999999995
Corymbia disjuncta,9,18,5,12.5,NA,7874.999999999999
Corymbia dunlopiana,3.5,12,2,5.7,NA,1989.1666666666665
Corymbia ellipsoidea,9,17.5,0.7,2.3,NA,1325
Corymbia eremaea,7.5,12,1,2.1,NA,1007.5
Corymbia erythrophloia,9,23.6,2,3.5,NA,2988.333333333333
Corymbia eximia,10,24,1.7,6,NA,4363.333333333333
Corymbia ferriticola,4,10,0.6,2.2,NA,653.3333333333334
Corymbia ferruginea,6.3,21.5,2,9,NA,5096.666666666666
Corymbia ficifolia,7,13,2.5,5,NA,2499.9999999999995
Corymbia flavescens,7,23.5,1.3,6,NA,3710.8333333333326
Corymbia foelscheana,10,27.5,4,13.5,NA,10937.499999999998
Corymbia gilbertensis,5,13,0.7,4.6,NA,1589.9999999999995
Corymbia grandifolia,8,20,3,15,NA,8400
Corymbia greeniana,8,23,2,7.6,NA,4959.999999999999
Corymbia gummifera,5.5,16,1.5,5,NA,2329.166666666666
Corymbia haematoxylon,7,12,2,3.5,NA,1741.6666666666665
Corymbia hamersleyana,8,16.5,1,2,NA,1224.9999999999998
Corymbia hendersonii,7,17,0.8,3,NA,1520
Corymbia henryi,11,28,2.2,4.5,NA,4355
Corymbia hylandii,8.4,19.5,0.9,2.5,NA,1580.9999999999998
Corymbia intermedia,8,15,1.3,4,NA,2031.6666666666663
Corymbia jacobsiana,5.3,13.7,0.7,2,NA,855
Corymbia kombolgiensis,8,21,0.6,1,NA,773.3333333333333
Corymbia lamprophylla,7,18,1,3,NA,1666.6666666666665
Corymbia latifolia,7,16.5,4,12.3,NA,6384.166666666666
Corymbia leichhardtii,10.5,24.5,1,3.8,NA,2799.9999999999995
Corymbia lenziana,6.5,12,0.5,1.5,NA,616.6666666666666
Corymbia leptoloma,8.9,21.5,2.1,5,NA,3597.3333333333326
Corymbia ligans,7.7,15,0.8,1.6,NA,908
Corymbia maculata,8,21,1.2,3,NA,2029.9999999999998
Corymbia nesophila,7.3,21,0.7,2.8,NA,1650.8333333333333
Corymbia novoguinensis,10,21,1.2,3.5,NA,2428.333333333333
Corymbia oocarpa,10,22,0.9,2.7,NA,1919.9999999999998
Corymbia opaca,9,17,1.1,3.5,"Hill, Kenneth D.; Johnson, Lawrence A.S. (1995). ""Systematic studies in the eucalypts. 7. A revision of the bloodwoods, genus Corymbia (Myrtaceae)"". Telopea. 6 (2Ð3): 318Ð320. doi:10.7751/telopea19953017.",1993.3333333333328
Corymbia pachycarpa,4,12,1.7,5,NA,1786.6666666666665
Corymbia papillosa,4,12.2,2,5.5,NA,2024.9999999999995
Corymbia papuana,9,21,1.6,3.5,NA,2549.9999999999995
Corymbia paractia,7.5,14,1.4,5.5,NA,2472.4999999999995
Corymbia pauciseta,9,19.5,2.7,9,NA,5557.499999999999
Corymbia peltata,6,13.5,3.5,11,NA,4712.5
Corymbia petalophylla,8,19,1.5,4.5,NA,2699.9999999999995
Corymbia plena,7.6,15.5,1,2.5,NA,1347.5
Corymbia pocillum,8,20.5,0.7,3,NA,1757.4999999999998
Corymbia polycarpa,7.8,20.8,1,3.8,NA,2287.9999999999995
Corymbia polysciada,6,21,1,7.5,NA,3824.9999999999995
