apc_nosubsp,tree_names,range_names,subgenus,budsize_mm2,logbudsize_mm2,colours_all,colour_binary,colour_fullbinary,frtsize_mm2,medianlong,meanMAT,meanMAP,meanAVP,meanbirdrich,meanbatpres,meanbatpres_bin
Angophora bakeri,Angophora_bakeri,Angophora bakeri,Angophora,30.250000000000004,3.4094961844768505,white_cream,0,0,80.75,151.06,17.151111111111145,1035.9233333333334,19.5058822407442,38.51190476190476,1,1
Angophora costata,Angophora_costata,Angophora costata,Angophora,56,4.02535169073515,white_cream,0,0,217.5,151.15,17.008646616541387,1097.239097744361,17.516393426988945,35.967213114754095,1,1
Angophora floribunda,Angophora_floribunda,Angophora floribunda,Angophora,16,2.772588722239781,white_cream,0,0,85.5,150.5,16.939932885906074,844.4036912751678,23.148788985084085,36.19931271477663,1,1
Angophora hispida,Angophora_hispida,Angophora hispida,Angophora,110,4.700480365792417,white_cream,0,0,338.25,151.0927565,16.802083333333368,1088.4791666666667,16.427536259526793,37.829268292682926,1,1
Angophora inopina,Angophora_inopina,Angophora inopina,Angophora,42.25,3.7436043538031827,white_cream,0,0,114,151.57,17.954761904761938,1127.409523809524,16.933333444595338,35.388888888888886,1,1
Angophora leiocarpa,NA,Angophora leiocarpa,Angophora,22.5,3.1135153092103742,white_cream,0,0,118.75,150.98333335,19.05189873417725,801.7113924050633,19.883116889309573,34.645161290322584,1,1
Angophora melanoxylon,Angophora_melanoxylon,Angophora melanoxylon,Angophora,27.500000000000004,3.3141860046725258,white_cream,0,0,94.5,146.7333333,20.254761904761946,455.5079365079365,14.11640215298486,26.20634920634921,0.9523809523809524,1
Angophora robur,Angophora_robur,Angophora robur,Angophora,80.75,4.391357962102766,white_cream,0,0,203,152.92379375000002,18.571428571428605,1181.5,24.64285707473755,37.57142857142857,1,1
Angophora subvelutina,Angophora_subvelutina,Angophora subvelutina,Angophora,25,3.2188758248682006,white_cream,0,0,80.75000000000001,152.12024000000002,17.375000000000036,987.0153846153846,29.253205207677983,38.067961165048544,1,1
Angophora woodsiana,Angophora_woodsiana,Angophora woodsiana,Angophora,42.249999999999986,3.7436043538031827,white_cream,0,0,168.75,153.04622935,19.355000000000032,1224.3925000000002,21.18421055141248,38.526315789473685,1,1
Corymbia abbreviata,Corymbia_abbreviata,Corymbia abbreviata,Corymbia,141.75,4.954064942607862,white_cream,0,0,646.25,129.3333,27.575423728813597,905.0101694915256,9.028735621222134,20.57627118644068,1,1
Corymbia abergiana,Corymbia_abergiana,Corymbia abergiana,Corymbia,142.5,4.959341999708705,white_cream,0,0,605,145.5,20.54069767441864,1523.7441860465117,17.542635773503502,39.04651162790697,1,1
Corymbia aparrerinja,Corymbia_aparrerinja,Corymbia aparrerinja,Blakella,35.74999999999999,3.5765502691400166,white_cream,0,0,88,134.0595801,23.574736842105295,359.71000000000004,12.228070201371846,18.32631578947369,0.28421052631578947,0
Corymbia arafurica,Corymbia_arafurica,Corymbia arafurica,Blakella,32.5,3.481240089335692,white_cream,0,0,84,131.925,27.192307692307725,1516.2326923076923,6.829787264478967,22.770833333333332,1,1
Corymbia arenaria,Corymbia_arenaria,Corymbia arenaria,Corymbia,12,2.4849066497880004,white_cream,0,0,105,126.65,26.884782608695687,1206.621739130435,9.840579644493436,20.91304347826087,1,1
Corymbia arnhemensis,NA,Corymbia arnhemensis,Corymbia,17.5,2.8622008809294686,white_cream,0,0,88,132.90894809999998,26.59130434782612,1409.5847826086958,10.304347779439842,22.73913043478261,1,1
Corymbia aspera,Corymbia_aspera,Corymbia aspera,Blakella,14,2.6390573296152584,white_cream,0,0,35.75,133.19106925,26.562987012987048,701.9512987012987,11.357456164924722,19.784313725490197,0.9477124183006536,1
Corymbia aureola,Corymbia_aureola,Corymbia aureola,Blakella,59.49999999999999,4.085976312551584,NA,NA,NA,168.75,148.1667,21.79285714285717,665,18.33333342415946,29.571428571428573,1,1
Corymbia bella,Corymbia_bella,Corymbia bella,Blakella,27,3.295836866004329,white_cream,0,0,80.75000000000001,131.8528,26.992533936651615,1154.69185520362,8.112195131255358,21.42439024390244,0.9902439024390244,1
Corymbia blakei,Corymbia_blakei,Corymbia blakei,Blakella,15.749999999999998,2.756840365271642,white_cream,0,0,56,143.7634147,22.994444444444476,387.1203703703704,8.561728336192944,20.685185185185187,0.42592592592592593,0
Corymbia bleeseri,Corymbia_bleeseri,Corymbia bleeseri,Corymbia,74.75,4.314149212270796,white_cream,0,0,250,131.8427528,26.880921052631617,1320.1763157894738,6.489361661545773,21.464788732394368,0.9861111111111112,1
Corymbia bloxsomei,Corymbia_bloxsomei,Corymbia bloxsomei,Blakella,62.99999999999999,4.143134726391533,white_cream,0,0,165,150.875,19.6466666666667,682.2833333333334,15.622222296396892,33.233333333333334,1,1
Corymbia brachycarpa,Corymbia_brachycarpa,Corymbia brachycarpa,Corymbia,30,3.4011973816621555,white_cream,0,0,193.75,145.73420065,22.22500000000003,588.2583333333333,6.905555574099223,23.466666666666665,1,1
Corymbia bunites,Corymbia_bunites,Corymbia bunites,Blakella,35,3.5553480614894135,white_cream,0,0,90,149.12709999999998,20.483333333333366,709.3125,19.902777671813965,32.5,1,1
Corymbia cadophora,Corymbia_cadophora,Corymbia cadophora,Corymbia,110.50000000000001,4.705015520957808,red white_cream,0.5,1,787.25,125.0833,27.311538461538493,902.1247863247864,9.034267964764176,20.57547169811321,0.9906542056074766,1
Corymbia calophylla,Corymbia_calophylla,Corymbia calophylla,Corymbia,80,4.382026634673881,pink white_cream,0.5,1,913.5000000000001,116.2506497,16.210294117647095,809.8378676470588,8.396530349901617,17.763157894736842,0,0
Corymbia candida,Corymbia_candida,Corymbia candida,Blakella,22.5,3.1135153092103742,white_cream,0,0,68,120.2513555,25.539947089947123,344.87142857142857,8.968085108919347,15.682539682539682,0.455026455026455,0
Corymbia chartacea,NA,Corymbia chartacea,Corymbia,123.50000000000001,4.816241156068032,pink white_cream,0.5,1,650.25,132.90059475,27.10250000000003,1506.8975,8.083333320087856,23.54054054054054,1,1
Corymbia chippendalei,Corymbia_chippendalei,Corymbia chippendalei,Corymbia,48,3.871201010907891,white_cream,0,0,440,127.9325,23.858264462809952,328.6181818181818,9.834733838794612,16.99173553719008,0.04132231404958678,0
Corymbia citriodora,Corymbia_citriodora,Corymbia citriodora,Blakella,51,3.9318256327243257,white_cream,0,0,109.25,150.515,20.132432432432463,927.231981981982,22.70283009870997,34.064516129032256,1,1
Corymbia clandestina,NA,Corymbia clandestina,Corymbia,40,3.6888794541139363,white_cream,0,0,97.75,147.3597343,21.921428571428596,621.3857142857144,13.952380793435234,26.714285714285715,1,1
Corymbia clarksoniana,Corymbia_clarksoniana,Corymbia clarksoniana,Corymbia,57.00000000000001,4.04305126783455,white_cream,0,0,231.25,146.2591822,22.411869158878535,1032.7441121495328,16.139676091159405,31.871743486973948,0.9919839679358716,1
Corymbia clavigera,NA,Corymbia clavigera,Blakella,28,3.332204510175204,white_cream,0,0,92,125.5333333,27.126470588235332,1326.0058823529412,13.208333253860474,16.5,0.625,1
Corymbia cliftoniana,NA,Corymbia cliftoniana,Corymbia,24,3.1780538303479458,white_cream,0,0,390,128.7693732,27.444230769230803,840.8807692307693,15.294117516162348,21.134615384615383,1,1
Corymbia collina,Corymbia_collina,Corymbia collina,Corymbia,152.25000000000003,5.025523906590006,white_cream,0,0,677.2500000000001,126.5011,26.358333333333366,881.6270833333334,11.361111104488373,19.1875,1,1
Corymbia confertiflora,Corymbia_confertiflora,Corymbia confertiflora,Blakella,24.75,3.2088254890146994,white_cream,0,0,98.99999999999999,135.59968255,26.18517241379314,982.3189655172414,9.355633776792338,23.573943661971832,0.9964788732394366,1
Corymbia dallachiana,Corymbia_dallachiana,Corymbia dallachiana,Blakella,30,3.4011973816621555,white_cream,0,0,93.5,144.9726389,23.653608247422714,945.9340206185568,13.71006939187646,29.433862433862434,1,1
Corymbia dendromerinx,Corymbia_dendromerinx,Corymbia dendromerinx,Blakella,30,3.4011973816621555,white_cream,0,0,66.5,123.97565845,27.53076923076927,816.323076923077,6.869565217391305,21.454545454545453,0.9565217391304348,1
Corymbia deserticola,Corymbia_deserticola,Corymbia deserticola,Corymbia,24,3.1780538303479458,white_cream,0,0,162.5,121.363888,24.754411764705917,373.1558823529412,9.982843101024628,16.66176470588235,0.5147058823529411,1
Corymbia dichromophloia,Corymbia_dichromophloia,Corymbia dichromophloia,Corymbia,22,3.091042453358316,white_cream,0,0,89.25000000000001,131.7333,26.710000000000033,937.2253164556962,8.73282440624771,20.620253164556964,1,1
Corymbia disjuncta,NA,Corymbia disjuncta,Blakella,32.5,3.481240089335692,white_cream,0,0,136.49999999999997,132.1833,26.8556910569106,1443.6975609756098,7.216666656732559,23.30252100840336,0.9915966386554622,1
Corymbia dunlopiana,Corymbia_dunlopiana,Corymbia dunlopiana,Corymbia,136,4.912654885736052,red,1,1,756.25,131.3345355,27.06643835616442,1440.4794520547946,9.768518540594313,22.944444444444443,0.9861111111111112,1
Corymbia ellipsoidea,Corymbia_ellipsoidea,Corymbia ellipsoidea,Corymbia,33.75,3.518980417318539,white_cream,0,0,178.24999999999994,145,22.15000000000003,986.4886363636364,13.553030404177578,32.34090909090909,1,1
Corymbia eremaea,Corymbia_eremaea,Corymbia eremaea,Corymbia,31.5,3.449987545831587,white_cream,0,0,222.75000000000003,131.797778,21.19045454545458,311.56636363636363,16.1075757893649,17.086363636363636,0,0
Corymbia erythrophloia,Corymbia_erythrophloia,Corymbia erythrophloia,Corymbia,48,3.871201010907891,white_cream,0,0,208,146.53,22.392641509433997,810.5184905660378,18.980915995954557,30.20152091254753,1,1
Corymbia eximia,Corymbia_eximia,Corymbia eximia,Blakella,97.75,4.582413198865475,white_cream,0,0,188.5,150.7166667,16.079824561403537,965.2666666666668,18.93452364206314,37.12280701754386,1,1
Corymbia ferriticola,Corymbia_ferriticola,Corymbia ferriticola,Blakella,15.749999999999998,2.756840365271642,white_cream,0,0,52,119.01626665,24.156818181818217,322.51022727272726,11.20075759562579,15.886363636363637,0.3636363636363637,0
Corymbia ferruginea,Corymbia_ferruginea,Corymbia ferruginea,Corymbia,68.25,4.223177434065069,white_cream,0,0,561,132.2676824,26.763553113553147,1006.9553113553114,6.568326937284506,20.226923076923075,0.9961977186311788,1
Corymbia ficifolia,Corymbia_ficifolia,Corymbia ficifolia,Corymbia,105,4.653960350157523,red,1,1,744,116.9166667,15.02647058823532,1020.1411764705884,14.94444457689921,15.823529411764708,0,0
Corymbia flavescens,Corymbia_flavescens,Corymbia flavescens,Blakella,48.75,3.886705197443856,white_cream,0,0,95,127.7186,26.901515151515188,591.0565656565657,7.299492386391925,18.26530612244898,0.979591836734694,1
Corymbia foelscheana,Corymbia_foelscheana,Corymbia foelscheana,Corymbia,92,4.5217885770490405,white_cream,0,0,494,132.00121,27.01848484848488,1390.8818181818183,7.699186980724335,22.32716049382716,1,1
Corymbia gilbertensis,Corymbia_gilbertensis,Corymbia gilbertensis,Blakella,27,3.295836866004329,white_cream,0,0,48.75,143.4244866,24.963513513513544,738.7648648648649,9.711711709563795,22.89189189189189,1,1
Corymbia grandifolia,Corymbia_grandifolia,Corymbia grandifolia,Blakella,82.5,4.412798293340635,white_cream,0,0,192.00000000000003,131.3244,27.06392405063295,1031.1367088607597,7.540579693213753,21.555066079295155,1,1
Corymbia greeniana,Corymbia_greeniana,Corymbia greeniana,Corymbia,52,3.9512437185814275,white_cream,0,0,338.25,126.5667,27.114984227129373,963.7567823343848,7.900000012318293,20.82059800664452,0.9966777408637874,1
Corymbia gummifera,Corymbia_gummifera,Corymbia gummifera,Corymbia,50,3.912023005428146,white_cream,0,0,229.50000000000003,151.37,17.27592592592596,1145.3507936507938,20.406551011035894,36.27167630057804,1,1
Corymbia haematoxylon,Corymbia_haematoxylon,Corymbia haematoxylon,Corymbia,46.75000000000001,3.844814255734696,white_cream,0,0,497.25000000000006,115.64165,16.900000000000038,816.4035714285715,5.61728392706977,15.785714285714286,0,0
Corymbia hamersleyana,Corymbia_hamersleyana,Corymbia hamersleyana,Corymbia,45.5,3.817712325956905,white_cream,0,0,175,117.70416665,25.670618556701065,352.4690721649485,10.91052629320245,14.910526315789474,0.9157894736842104,1
Corymbia hendersonii,Corymbia_hendersonii,Corymbia hendersonii,Corymbia,50,3.912023005428146,white_cream,0,0,432,148.93916785,19.781818181818213,705.5931818181818,22.075757785276934,31.59090909090909,1,1
Corymbia henryi,Corymbia_henryi,Corymbia henryi,Blakella,87.5,4.471638793363569,white_cream,0,0,150,152.9333,19.133050847457664,1103.1949152542372,28.925287164490797,38.824561403508774,1,1
Corymbia hylandii,Corymbia_hylandii,Corymbia hylandii,Corymbia,24,3.1780538303479458,white_cream,0,0,140,144.75,24.27727272727276,1118.6545454545455,12.653333282470705,32.093333333333334,1,1
Corymbia intermedia,Corymbia_intermedia,Corymbia intermedia,Corymbia,42.5,3.7495040759303713,white_cream,0,0,180.00000000000003,151.79835,20.322023809523845,1370.9169642857144,23.263459362934544,36.09756097560975,0.993103448275862,1
Corymbia jacobsiana,Corymbia_jacobsiana,Corymbia jacobsiana,Corymbia,8,2.0794415416798357,white_cream,0,0,54.00000000000001,132.8672452,26.482812500000033,1372.94375,7.328124947845936,21.80952380952381,1,1
Corymbia kombolgiensis,NA,Corymbia kombolgiensis,Blakella,20,2.995732273553991,white_cream,0,0,54.00000000000001,133,26.6672043010753,1354.6655913978495,9.445692895503528,21.247191011235955,1,1
Corymbia lamprophylla,Corymbia_lamprophylla,Corymbia lamprophylla,Corymbia,37.5,3.624340932976365,white_cream,0,0,174.00000000000003,146.10152775,22.201851851851885,710.2833333333334,10.623456765104224,26.11111111111111,1,1
Corymbia latifolia,Corymbia_latifolia,Corymbia latifolia,Corymbia,24.749999999999996,3.208825489014699,white_cream,0,0,110,131.6192742,26.71767241379314,1317.8676724137931,7.243362812869317,21.444444444444443,1,1
