range_names,Longitude,Latitude
Angophora bakeri,149.9772222,-32.5011111
Angophora bakeri,150.22,-33.87
Angophora bakeri,150.23,-33.73
Angophora bakeri,150.3,-34.85
Angophora bakeri,150.3178553,-34.77342773
Angophora bakeri,150.38,-34.92
Angophora bakeri,150.38,-34.72
Angophora bakeri,150.38,-33.8
Angophora bakeri,150.43,-34
Angophora bakeri,150.53,-34.2
Angophora bakeri,150.55,-33.27
Angophora bakeri,150.6166667,-33.73333333
Angophora bakeri,150.67,-33.4
Angophora bakeri,150.68,-32.95
Angophora bakeri,150.72,-34.17
Angophora bakeri,150.72236,-33.65489
Angophora bakeri,150.73,-34.22
Angophora bakeri,150.7833333,-33.66666667
Angophora bakeri,150.8155556,-34.1152778
Angophora bakeri,150.85,-34.03
Angophora bakeri,150.85,-32.85
Angophora bakeri,150.9,-33.55
Angophora bakeri,150.9,-33.48
Angophora bakeri,150.98,-33.45
Angophora bakeri,151,-34.07
Angophora bakeri,151,-33.97
Angophora bakeri,151,-32.95
Angophora bakeri,151.05,-34
Angophora bakeri,151.05,-33.65
Angophora bakeri,151.05,-33.53
Angophora bakeri,151.1,-33.8
Angophora bakeri,151.1166667,-33.2
Angophora bakeri,151.3666667,-33
Angophora bakeri,151.55,-32.88
Angophora bakeri,151.55,-32.83
Angophora bakeri,151.63,-32.78
Angophora bakeri,152.8333333,-29.45
Angophora bakeri,153.2166667,-29.25
Angophora bakeri,150.22,-34.35
Angophora bakeri,150.37,-33.73
Angophora bakeri,150.58,-34.24
Angophora bakeri,150.62,-33.78
Angophora bakeri,150.65,-33.62
Angophora bakeri,150.7,-33.52
Angophora bakeri,150.72,-33.45
Angophora bakeri,150.75,-33.4
Angophora bakeri,150.77,-33.5
Angophora bakeri,150.8,-33.42
Angophora bakeri,150.9,-32.8
Angophora bakeri,150.92,-33.92
Angophora bakeri,150.95,-33.5
Angophora bakeri,150.98,-33.38
Angophora bakeri,151.02,-33.6
Angophora bakeri,151.07,-32.75
Angophora bakeri,151.13,-33.07
Angophora bakeri,151.15,-33.12
Angophora bakeri,151.2,-33.9
Angophora bakeri,151.2,-33.52
Angophora bakeri,151.42,-32.82
Angophora bakeri,151.48,-32.9
Angophora bakeri,151.48,-32.82
Angophora bakeri,151.67,-29.07
Angophora bakeri,151.72,-29.1
Angophora bakeri,151.95,-32.67
Angophora bakeri,152.38,-29.52
Angophora bakeri,152.47,-29.63
Angophora bakeri,152.81,-29.81
Angophora bakeri,152.88,-29.52
Angophora bakeri,152.98,-29.48
Angophora bakeri,153.13,-29.07
Angophora bakeri,153.15,-29.17
Angophora bakeri,153.17,-29.12
Angophora bakeri,153.21,-29.59
Angophora bakeri,153.25,-29.37
Angophora bakeri,153.25,-29.2
Angophora bakeri,153.28,-29.15
Angophora bakeri,153.28,-29
Angophora bakeri,153.32,-29.58
Angophora bakeri,153.33,-29.08
Angophora bakeri,153.35,-29.15
Angophora bakeri,153.37,-29.5
Angophora bakeri,153.4,-29.05
Angophora bakeri,151.15,-33.75
Angophora bakeri,151.1833333,-33.66666667
Angophora bakeri,151.2,-33.8
Angophora bakeri,151.2056,-32.705
Angophora bakeri,151.22,-33.73
Angophora bakeri,151.23,-33.58
Angophora bakeri,151.2644444,-33.6808333
Angophora bakeri,151.2666667,-33.78333333
Angophora costata,149.9676255,-34.30697163
Angophora costata,150.0725072,-36.0243516
Angophora costata,150.1,-34.15
Angophora costata,150.1009742,-35.98197561
Angophora costata,150.2652764,-34.33157919
Angophora costata,150.38,-33.5
Angophora costata,150.4665912,-34.39451131
Angophora costata,150.4683333,-33.7358333
Angophora costata,150.5,-34.08
Angophora costata,150.5,-33.5
Angophora costata,150.57,-33.48
Angophora costata,150.5978888,-33.79780013
Angophora costata,150.63,-33.45
Angophora costata,150.85,-34.07
Angophora costata,150.8666667,-34.01666667
Angophora costata,150.97,-34.22
Angophora costata,150.98,-33.75
Angophora costata,151.1,-34
Angophora costata,151.1,-33.7
Angophora costata,151.1160726,-34.04557231
Angophora costata,151.15,-33.63
Angophora costata,151.1941667,-33.845
Angophora costata,151.2167,-33.5333
Angophora costata,151.23,-33.75
Angophora costata,151.23,-33.58
Angophora costata,151.2666667,-33.45
Angophora costata,151.3166667,-33.63333333
Angophora costata,151.4,-33.45
Angophora costata,151.52,-33.07
Angophora costata,151.6,-33.0167
Angophora costata,151.75,-32.83
Angophora costata,151.92,-32.83
Angophora costata,152.32,-32.45
